id,title,content,image,created_at,user_id
1,Walking on river side,Take a walk on the wild side 🌿🌻🍃,posts/pexels-yunus-tu-17038848.jpg,2023-09-17 20:05:53.678064,6
2,Amazing Sunset at the Beach,I had a wonderful evening watching the sunset at the beach.,posts/pexels-travis-rupert-1032650.jpg,2023-09-17 20:05:53.687071,1
3,Delicious Homemade Dinner,"Tried a new recipe tonight, and it turned out to be a hit!",posts/pexels-valeria-boltneva-1833349.jpg,2023-09-17 20:05:53.696072,2
4,New Book Recommendation,Spent the weekend hiking and enjoying the beauty of nature.,posts/pexels-robert-forever-ago-18224397.jpg,2023-09-17 20:05:53.705582,3
5,New Book Recommendation,"Just finished reading an amazing book, highly recommended!",posts/pexels-rikka-ameboshi-3358707.jpg,2023-09-17 20:05:53.713581,4
6,Tech News Update,Exciting developments in the tech world. Stay tuned!,posts/pexels-harsch-shivam-2007647.jpg,2023-09-17 20:05:53.723082,5
7,Gardening Tips for Beginners,Started a new garden in my backyard. Any gardening enthusiasts here?,posts/pexels-markus-spiske-2013782.jpg,2023-09-17 20:05:53.733084,6
8,Traveling to Exotic Destinations,Sharing my travel experiences and tips for fellow adventurers.,posts/pexels-chanaka-madushan-sugathadasa-999068.jpg,2023-09-17 20:05:53.742579,7
9,Movie Night with Friends,Movie night with friends was a blast. Here's what we watched!,posts/pexels-pixabay-458379.jpg,2023-09-17 20:05:53.751081,8
10,Healthy Recipe Ideas,Healthy eating is a lifestyle. Here are some of my favorite recipes.,posts/pexels-ella-olsson-1640771.jpg,2023-09-17 20:05:53.760580,9
11,Coding Challenges for Programmers,Calling all coders! Let's tackle these challenges together.,posts/pexels-djordje-petrovic-2102416.jpg,2023-09-17 20:05:53.770582,10
12,A Day at the Amusement Park,Had a blast riding roller coasters and enjoying cotton candy.,posts/pexels-mihai-vlasceanu-1403653.jpg,2023-09-17 20:05:53.779583,11
13,Cooking Experiment: Thai Cuisine,Attempted to make authentic Thai dishes at home - a culinary adventure!,posts/pexels-iconcom-1234535.jpg,2023-09-17 20:05:53.789587,12
14,Exploring Historic European Cities,"Visited Rome and Paris, and the architecture was breathtaking.",posts/pexels-emily-geibel-3772442.jpg,2023-09-17 20:05:53.799089,13
15,Book Review: The Great Gatsby,A classic novel that everyone should read at least once.,posts/pexels-criativa-pix-fotografia-16314002.jpg,2023-09-17 20:05:53.807600,14
16,Latest Trends in Fashion,Sharing the latest fashion trends and outfit ideas.,posts/pexels-jaysen-scott-1858488.jpg,2023-09-17 20:05:53.816600,2
17,Fitness Tips for a Healthier Lifestyle,Stay active and eat well for a healthier you.,posts/pexels-alesia-kozik-7289296.jpg,2023-09-17 20:05:53.826599,3
18,Coding Bootcamp Journey,Learning to code is challenging but rewarding. My coding journey so far.,posts/pexels-christina-morillo-1181472.jpg,2023-09-17 20:05:53.837102,3
19,Photography Adventures in Nature,Captured stunning landscapes and wildlife on a photography trip.,posts/pexels-jasmin-chew-16948299.jpg,2023-09-17 20:05:53.846101,4
20,Movie Marathon Weekend,Watched a series of classic movies over the weekend. Here are my favorites.,posts/pexels-pixabay-33129.jpg,2023-09-17 20:05:53.855100,5
21,Artistic Inspiration from a Museum Visit,Artistic inspiration struck me at the local museum.,posts/pexels-jose-antonio-gallego-vázquez-2167395.jpg,2023-09-17 20:05:53.865099,5
